value;idx;time
125,5;0;0
0,44757625;0;1
0,11911856;0;2
0,0;0;3
0,0;0;4
0,0;0;5
0,0;0;6
0,0;0;7
0,0;0;8
0,0;0;9
122,277626;0;10
120,17712;0;11
120,10916;0;12
120,194405;0;13
120,02983;0;14
120,09966;0;15
120,313225;0;16
120,09847;0;17
120,25154;0;18
129,26645;0;19
130,58406;0;20
130,45865;0;21
130,37357;0;22
130,50491;0;23
130,61746;0;24
130,48;0;25
130,38391;0;26
130,51474;0;27
130,48865;0;28
140,38289;0;29
140,4427;0;30
140,36185;0;31
140,6178;0;32
140,59;0;33
140,73645;0;34
140,54712;0;35
140,59154;0;36
140,51254;0;37
140,69525;0;38
130,57085;0;39
130,44814;0;40
130,45033;0;41
130,39424;0;42
130,26627;0;43
130,45;0;44
130,51422;0;45
130,27069;0;46
130,39917;0;47
130,29626;0;48
125,25238;0;49
125,148125;0;50
125,1261;0;51
125,20017;0;52
125,26048;0;53
125,251526;0;54
125,16865;0;55
125,55762;0;56
125,22442;0;57
125,259315;0;58
125,1;0;59
125,06;1;0
0,46127123;1;1
0,078;1;2
0,0;1;3
0,0;1;4
0,0;1;5
0,0;1;6
0,0;1;7
0,0;1;8
0,0;1;9
122,32424;1;10
120,17712;1;11
120,258644;1;12
120,09186;1;13
120,07017;1;14
119,99187;1;15
119,94;1;16
119,824234;1;17
120,12764;1;18
129,26118;1;19
130,0944;1;20
130,45627;1;21
130,21;1;22
130,32779;1;23
130,18;1;24
130,14644;1;25
130,12627;1;26
130,12135;1;27
130,08847;1;28
140,46628;1;29
140,59;1;30
140,18866;1;31
140,41;1;32
140,23897;1;33
140,55339;1;34
140,22186;1;35
140,60526;1;36
140,18;1;37
140,74393;1;38
130,51965;1;39
130,28238;1;40
130,3061;1;41
130,37204;1;42
130,21916;1;43
130,12154;1;44
130,46526;1;45
130,05833;1;46
130,28406;1;47
130,29506;1;48
124,984406;1;49
125,02609;1;50
125,13205;1;51
124,89711;1;52
125,12796;1;53
124,98051;1;54
125,19153;1;55
125,09864;1;56
124,95509;1;57
125,032875;1;58
125,04;1;59
125,13;2;0
0,297;2;1
0,0;2;2
0,0;2;3
0,0;2;4
0,0;2;5
0,0;2;6
0,0;2;7
0,0;2;8
0,0;2;9
122,11186;2;10
119,99949;2;11
120,73322;2;12
120,30287;2;13
120,17509;2;14
119,61695;2;15
119,655426;2;16
119,68456;2;17
119,63406;2;18
129,15799;2;19
130,13881;2;20
130,19577;2;21
130,13594;2;22
129,77;2;23
130,0256;2;24
129,91594;2;25
130,07782;2;26
129,78915;2;27
129,93898;2;28
140,4417;2;29
140,28914;2;30
140,1895;2;31
140,27084;2;32
140,0673;2;33
140,25085;2;34
140,32373;2;35
140,3922;2;36
140,29338;2;37
140,2363;2;38
130,19882;2;39
130,05238;2;40
129,98476;2;41
129,91;2;42
129,8522;2;43
130,00339;2;44
129,87474;2;45
129,90608;2;46
130,28561;2;47
130,04506;2;48
125,06577;2;49
124,72813;2;50
124,97814;2;51
124,78966;2;52
124,95864;2;53
124,765594;2;54
124,934235;2;55
124,65136;2;56
124,83;2;57
124,64644;2;58
124,88;2;59
124,93;3;0
0,117;3;1
0,0;3;2
0,0;3;3
0,0;3;4
0,0;3;5
0,0;3;6
0,0;3;7
0,0;3;8
0,0;3;9
121,79305;3;10
120,00169;3;11
120,09561;3;12
120,05254;3;13
119,814575;3;14
119,64136;3;15
119,64695;3;16
119,66355;3;17
119,76;3;18
128,61963;3;19
130,14119;3;20
129,86;3;21
129,84846;3;22
130,0473;3;23
129,68729;3;24
129,5795;3;25
129,83255;3;26
130,0617;3;27
129,94069;3;28
140,27576;3;29
140,14696;3;30
140,07101;3;31
140,22034;3;32
